Rocket.la,Mexico,Comercio,2019,6,Yolanda,Ortiz,COO,Evento,Gobierno
UNIKO,Mexico,Comercio,2019,6,Tadeo,Hidalgo,Manager Ventas,Evento,Gobierno
NOCNOK,Mexico,Comercio,2019,6,Poncio,Saez,Director Ventas,Evento,Gobierno
Prestamos en un Click,Mexico,Comercio,2019,6,Nemesio,Castillo,Manager Ventas,Evento,Gobierno
Gestionix,Mexico,Comercio,2019,6,Maximiliano,Nunez,CFO,Evento,Gobierno
ArkusNexus,Mexico,Comercio,2019,6,Marcelo,Romero,Director Operaciones,Evento,Gobierno
Ocapital,Mexico,Comercio,2019,6,Lidia,Velasco,Director Operaciones,Evento,Gobierno
Blowzy,Mexico,Comercio,2019,6,Leoncio,Alonso,Director Ventas,Evento,Gobierno
Polygon Fintech,Mexico,Comercio,2019,6,Gerardo,Soler,Director Finanzas,Evento,Gobierno
FINGAME,Mexico,Comercio,2019,6,Emilia,Gutierrez,Otro,Evento,Gobierno
Ictineo Ptf,Mexico,Comercio,2019,6,Elena,Alonso,Director Ventas,Evento,Gobierno
Bancompara,Mexico,Comercio,2019,6,Cipriano,Gonzalez,Manager Ventas,Evento,Gobierno
Swap,Mexico,Comercio,2019,6,Alejandra,alvarez,Director Operaciones,Evento,Gobierno
Ictineo Ptf,Mexico,Comercio,2019,9,Trinidad,Guerrero,Manager TI,Evento,Iot
Seguro Canguro,Colombia,Comercio,2019,9,Sonia,Gutierrez,Manager TI,Evento,Iot
Alquilando.com,Argentina,Comercio,2019,9,Sergio,Parra,Otro,Evento,Iot
Arma tu Vaca,Colombia,Comercio,2019,9,Segismundo,Cortes,CEO,Evento,Iot
PlacetoPay,Colombia,Comercio,2019,9,Santiago,Santana,Director Ventas,Evento,Iot
Tasa Top,Peru,Comercio,2019,9,Santiago,Ortiz,Manager TI,Evento,Iot
Kushki,Colombia    ,Comercio,2019,9,Salomon,Castro,CIO,Evento,Iot
FLY CAPITAL,Mexico,Comercio,2019,9,Roberto,Santiago,CIO,Evento,Iot
MadeiraMadeira,Brasil,Comercio,2019,9,Pio,Ferrer,Otro,Evento,Iot
Imix,Colombia,Comercio,2019,9,Otilia,alvarez,CIO,Evento,Iot
Pipefy,Brasil,Comercio,2019,9,oscar,Ferrer,CFO,Evento,Iot
Biometrika,Chile,Comercio,2019,9,Margarita,Reyes,Director TI,Evento,Iot
Pagos 360,Argentina,Comercio,2019,9,Manuel,Ortiz,CEO,Evento,Iot
ConnectaLabs AI,Chile,Comercio,2019,9,Luz,Prieto,Director Ventas,Evento,Iot
NOCNOK,Mexico,Comercio,2019,9,Lino,Navarro,Director TI,Evento,Iot
Gestionix,Mexico,Comercio,2019,9,Isaias,Carmona,CEO,Evento,Iot
Polygon Fintech,Mexico,Comercio,2019,9,Irene,Marquez,Director TI,Evento,Iot
Ibanonline,RLA,Comercio,2019,9,Guadalupe,Caballero,Director Finanzas,Evento,Iot
Rocket.la,Mexico,Comercio,2019,9,Gerardo,Romero,CIO,Evento,Iot
Basement,Brasil,Comercio,2019,9,Francisco,Cortes,Manager TI,Evento,Iot
Nama,Brasil,Comercio,2019,9,Felix,Mendez,Director Ventas,Evento,Iot
Treasy,Brasil,Comercio,2019,9,Federico,Prieto,COO,Evento,Iot
Ubii Pagos,RLA,Comercio,2019,9,Edgar,Navarro,Director TI,Evento,Iot
MZP TECH,Argentina,Comercio,2019,9,Columba,Delgado,COO,Evento,Iot
BLU365,Brasil,Comercio,2019,9,Cirino,Suarez,CIO,Evento,Iot
Alphacredit,Mexico,Comercio,2019,9,Cesareo,Prieto,Manager TI,Evento,Iot
Bancompara,Mexico,Comercio,2019,9,Celia,alvarez,Director TI,Evento,Iot
UNIKO,Mexico,Comercio,2019,9,Benjamin,Herrera,Director Finanzas,Evento,Iot
Wuabi,Argentina,Comercio,2019,9,Benedicto,Morales,COO,Evento,Iot
BILLEX Divisas,Peru,Comercio,2019,9,Beltran,Duran,CFO,Evento,Iot
Laudox,Peru,Comercio,2019,9,Aurelio,Blanco,CFO,Evento,Iot
Contagram,Argentina,Comercio,2019,9,Atanasio,Pastor,Director Operaciones,Evento,Iot
FLY CAPITAL,Mexico,Comercio,2019,2,Victorio,Martin,CIO,Evento,SAP
co2in,Brasil,Comercio,2019,2,Renato,Arias,CIO,Evento,SAP
BILLEX Divisas,Peru,Comercio,2019,2,Noe,Blesa,CFO,Evento,SAP
Bancompara,Mexico,Comercio,2019,2,Mar,Ferrer,Director TI,Evento,SAP
Prestamos en un Click,Mexico,Comercio,2019,2,Jaume,Vidal,CIO,Evento,SAP
Ibanonline,RLA,Comercio,2019,2,Isidro,Hernandez,Director TI,Evento,SAP
Swap,Mexico,Comercio,2019,2,Claudio,Santana,Director Finanzas,Evento,SAP
Contagram,Argentina,Comercio,2019,2,Carolina,Santiago,CIO,Evento,SAP
MadeiraMadeira,Brasil,Comercio,2019,2,Antero,Duran,CIO,Evento,SAP
Blowzy,Mexico,Comercio,2019,2,Alfonso,Vargas,CIO,Evento,SAP
Ubii Pagos,RLA,Comercio,2019,2,Zaqueo,Esteban,CIO,Evento,SAP
Nama,Brasil,Comercio,2019,2,Zacarias,Castro,CIO,Evento,SAP
UNIKO,Mexico,Comercio,2019,2,Vladimiro,Esteban,CIO,Evento,SAP
Mercado Pago,Argentina,Comercio,2019,2,Victor,Crespo,Director TI,Evento,SAP
Dividendee,Mexico,Comercio,2019,2,Valeriano,Blanco,Director TI,Evento,SAP
Pipefy,Brasil,Comercio,2019,2,Urbano,Parra,Manager TI,Evento,SAP
Rapicredito,Argentina,Comercio,2019,2,Trinidad,Bravo,Manager TI,Evento,SAP
Suyo,Colombia,Comercio,2019,2,Trinidad,Jimenez,Director TI,Evento,SAP
Prometeo,RLA,Comercio,2019,2,Teodosia,Rodriguez,Director TI,Evento,SAP
Hipoko,Colombia,Comercio,2019,2,Sonia,Gallardo,CIO,Evento,SAP
Rocket.la,Mexico,Comercio,2019,2,Simeon,Bravo,Director Ventas,Evento,SAP
Alquilando.com,Argentina,Comercio,2019,2,Salvio,Navarro,Director TI,Evento,SAP
BLU365,Brasil,Comercio,2019,2,Roque,Perez,CIO,Evento,SAP
FINGAME,Mexico,Comercio,2019,2,Ramiro,Torres,Director TI,Evento,SAP
MZP TECH,Argentina,Comercio,2019,2,Purificacion,Moya,Director TI,Evento,SAP
NOCNOK,Mexico,Comercio,2019,2,Oseas,Vega,CFO,Evento,SAP
Polygon Fintech,Mexico,Comercio,2019,2,Nemesio,Carrasco,CIO,Evento,SAP
Tasa Top,Peru,Comercio,2019,2,Luz,Perez,Manager TI,Evento,SAP
Biometrika,Chile,Comercio,2019,2,Lazaro,Bravo,Director TI,Evento,SAP
Wuabi,Argentina,Comercio,2019,2,Juvenal,Dominguez,Director Operaciones,Evento,SAP
Konfront,Mexico,Comercio,2019,2,Isidro,Gil,CFO,Evento,SAP
Ocapital,Mexico,Comercio,2019,2,Felix,Diaz,Director Ventas,Evento,SAP
Pagos 360,Argentina,Comercio,2019,2,Fausto,Crespo,CIO,Evento,SAP
Wayra,Brasil,Comercio,2019,2,Fausto,Hidalgo,CEO,Evento,SAP
Ictineo Ptf,Mexico,Comercio,2019,2,Esiquio,Vazquez,Director TI,Evento,SAP
mibucle,Argentina,Comercio,2019,2,Encarnacion,Pascual,Director TI,Evento,SAP
Arma tu Vaca,Colombia,Comercio,2019,2,Elena,Marquez,CFO,Evento,SAP
ConnectaLabs AI,Chile,Comercio,2019,2,Dimas,Vicente,CEO,Evento,SAP
Alphacredit,Mexico,Comercio,2019,2,Daciano,Herrera,Director TI,Evento,SAP
ArkusNexus,Mexico,Comercio,2019,2,Conrado,Mora,CEO,Evento,SAP
Laudox,Peru,Comercio,2019,2,Ciro,Ruiz,CFO,Evento,SAP
Seguro Canguro,Colombia,Comercio,2019,2,Carmen,Aguilar,Director TI,Evento,SAP
Gestionix,Mexico,Comercio,2019,2,Benito,Santos,Director Ventas,Evento,SAP
